시도별 고등교육기관 신입생 충원율(2010-2024),,,,,,,,,,,,,,,,,,
2017,울산," 7,623 "," 7,210 ", 94.6 ," 3,097 "," 3,099 ", 100.1 ," 2,378 "," 2,378 ", 100.0 ," 1,683 "," 1,279 ", 76.0 ,,,,,
2017,세종," 4,806 "," 4,588 ", 95.5 ," 2,860 "," 2,789 ", 97.5 ," 1,204 "," 1,204 ", 100.0 , 742 , 595 , 80.2 ,,,,,
2017,경기," 104,946 "," 100,522 ", 95.8 ," 37,771 "," 37,372 ", 98.9 ," 50,779 "," 50,369 ", 99.2 ," 13,171 "," 10,480 ", 79.6 ,,,,,
2017,강원," 25,824 "," 23,728 ", 91.9 ," 16,223 "," 15,705 ", 96.8 ," 5,675 "," 5,326 ", 93.9 ," 3,330 "," 2,102 ", 63.1 ,,,,,
2017,충북," 27,544 "," 26,103 ", 94.8 ," 16,205 "," 16,040 ", 99.0 ," 6,345 "," 5,779 ", 91.1 ," 4,269 "," 3,601 ", 84.4 ,,,,,
2017,충남," 40,689 "," 39,185 ", 96.3 ," 26,135 "," 25,652 ", 98.2 ," 6,576 "," 6,353 ", 96.6 ," 4,839 "," 4,138 ", 85.5 ,,,,,
2017,전북," 29,017 "," 27,012 ", 93.1 ," 14,246 "," 14,004 ", 98.3 ," 7,113 "," 6,779 ", 95.3 ," 4,311 "," 3,138 ", 72.8 ,,,,,
2017,전남," 18,331 "," 16,973 ", 92.6 ," 8,550 "," 8,227 ", 96.2 ," 8,063 "," 7,488 ", 92.9 ," 1,568 "," 1,116 ", 71.2 ,,,,,
2017,경북," 46,163 "," 42,517 ", 92.1 ," 25,729 "," 24,935 ", 96.9 ," 12,105 "," 10,950 ", 90.5 ," 5,561 "," 4,158 ", 74.8 ,,,,,
2017,경남," 27,128 "," 25,441 ", 93.8 ," 13,766 "," 13,583 ", 98.7 ," 8,021 "," 7,371 ", 91.9 ," 4,167 "," 3,313 ", 79.5 ,,,,,
2017,제주," 6,459 "," 5,886 ", 91.1 ," 2,855 "," 2,526 ", 88.5 ," 2,639 "," 2,534 ", 96.0 , 940 , 801 , 85.2 ,,,,,
2017,전국," 731,596 "," 648,246 ", 88.6 ," 317,367 "," 313,276 ", 98.7 ," 172,601 "," 166,910 ", 96.7 ," 129,464 "," 107,081 ", 82.7 ,,,,,
2018,서울," 230,604 "," 173,996 ", 75.5 ," 72,237 "," 71,976 ", 99.6 ," 15,280 "," 15,280 ", 100.0 ," 55,421 "," 47,106 ", 85.0 ,,,,,
2018,부산," 52,761 "," 50,045 ", 94.9 ," 30,213 "," 30,178 ", 99.9 ," 11,938 "," 11,395 ", 95.5 ," 8,379 "," 6,554 ", 78.2 ,,,,,
2018,대구," 29,865 "," 28,325 ", 94.8 ," 9,423 "," 9,390 ", 99.6 ," 13,122 "," 12,829 ", 97.8 ," 5,046 "," 3,861 ", 76.5 ,,,,,
2018,인천," 16,823 "," 16,176 ", 96.2 ," 6,194 "," 6,177 ", 99.7 ," 5,940 "," 5,940 ", 100.0 ," 3,205 "," 2,591 ", 80.8 ,,,,,
2018,광주," 25,683 "," 24,250 ", 94.4 ," 13,540 "," 13,499 ", 99.7 ," 5,996 "," 5,943 ", 99.1 ," 5,436 "," 4,098 ", 75.4 ,,,,,
2018,대전," 35,320 "," 33,451 ", 94.7 ," 18,136 "," 18,044 ", 99.5 ," 8,014 "," 7,539 ", 94.1 ," 7,653 "," 6,568 ", 85.8 ,,,,,
2018,울산," 7,602 "," 7,094 ", 93.3 ," 3,099 "," 3,085 ", 99.5 ," 2,373 "," 2,373 ", 100.0 ," 1,683 "," 1,189 ", 70.6 ,,,,,
2018,세종," 4,633 "," 4,436 ", 95.7 ," 2,687 "," 2,628 ", 97.8 ," 1,204 "," 1,204 ", 100.0 , 742 , 604 , 81.4 ,,,,,
2018,경기," 104,709 "," 99,816 ", 95.3 ," 37,547 "," 37,206 ", 99.1 ," 50,717 "," 49,670 ", 97.9 ," 13,230 "," 10,657 ", 80.6 ,,,,,
2018,강원," 24,456 "," 22,926 ", 93.7 ," 15,338 "," 15,198 ", 99.1 ," 5,276 "," 5,033 ", 95.4 ," 3,246 "," 2,099 ", 64.7 ,,,,,
2018,충북," 26,855 "," 25,992 ", 96.8 ," 15,953 "," 15,854 ", 99.4 ," 5,921 "," 5,641 ", 95.3 ," 4,261 "," 3,827 ", 89.8 ,,,,,
2018,충남," 39,865 "," 38,633 ", 96.9 ," 25,475 "," 25,416 ", 99.8 ," 6,488 "," 6,148 ", 94.8 ," 4,828 "," 4,133 ", 85.6 ,,,,,
2018,전북," 27,996 "," 26,273 ", 93.8 ," 13,827 "," 13,732 ", 99.3 ," 6,829 "," 6,497 ", 95.1 ," 4,128 "," 3,051 ", 73.9 ,,,,,
2018,전남," 18,054 "," 16,741 ", 92.7 ," 8,428 "," 8,084 ", 95.9 ," 7,918 "," 7,421 ", 93.7 ," 1,565 "," 1,093 ", 69.8 ,,,,,
2018,경북," 45,139 "," 41,281 ", 91.5 ," 25,490 "," 24,703 ", 96.9 ," 11,138 "," 10,357 ", 93.0 ," 5,387 "," 3,947 ", 73.3 ,,,,,
2018,경남," 26,651 "," 24,927 ", 93.5 ," 13,631 "," 13,420 ", 98.5 ," 7,758 "," 7,101 ", 91.5 ," 4,098 "," 3,252 ", 79.4 ,,,,,
2018,제주," 6,306 "," 5,736 ", 91.0 ," 2,806 "," 2,535 ", 90.3 ," 2,555 "," 2,457 ", 96.2 , 920 , 719 , 78.2 ,,,,,
2018,전국," 723,322 "," 640,098 ", 88.5 ," 314,024 "," 311,125 ", 99.1 ," 168,467 "," 162,828 ", 96.7 ," 129,228 "," 105,349 ", 81.5 ,,,,,
2019,서울," 228,201 "," 172,515 ", 75.6 ," 72,157 "," 71,773 ", 99.5 ," 15,182 "," 15,182 ", 100.0 ," 55,207 "," 46,823 ", 84.8 ,,,,,
2019,부산," 52,673 "," 49,467 ", 93.9 ," 30,212 "," 30,164 ", 99.8 ," 11,775 "," 10,822 ", 91.9 ," 8,455 "," 6,563 ", 77.6 ,,,,,
2019,대구," 29,748 "," 28,448 ", 95.6 ," 9,469 "," 9,422 ", 99.5 ," 13,024 "," 12,839 ", 98.6 ," 5,067 "," 4,086 ", 80.6 ,,,,,
2019,인천," 16,842 "," 15,995 ", 95.0 ," 6,197 "," 6,182 ", 99.8 ," 5,936 "," 5,936 ", 100.0 ," 3,225 "," 2,416 ", 74.9 ,,,,,
2019,광주," 25,705 "," 23,971 ", 93.3 ," 13,588 "," 13,531 ", 99.6 ," 5,993 "," 5,925 ", 98.9 ," 5,442 "," 3,834 ", 70.5 ,,,,,
2019,대전," 34,946 "," 33,399 ", 95.6 ," 18,094 "," 17,940 ", 99.1 ," 7,829 "," 7,782 ", 99.4 ," 7,643 "," 6,394 ", 83.7 ,,,,,
2019,울산," 7,584 "," 7,192 ", 94.8 ," 3,095 "," 3,091 ", 99.9 ," 2,413 "," 2,413 ", 100.0 ," 1,683 "," 1,295 ", 76.9 ,,,,,
2019,세종," 4,633 "," 4,368 ", 94.3 ," 2,687 "," 2,648 ", 98.5 ," 1,204 "," 1,204 ", 100.0 , 742 , 516 , 69.5 ,,,,,
2019,경기," 104,051 "," 99,799 ", 95.9 ," 37,667 "," 37,312 ", 99.1 ," 49,951 "," 49,711 ", 99.5 ," 13,248 "," 10,742 ", 81.1 ,,,,,
2019,강원," 24,559 "," 22,837 ", 93.0 ," 15,333 "," 15,227 ", 99.3 ," 5,199 "," 4,832 ", 92.9 ," 3,496 "," 2,247 ", 64.3 ,,,,,
2019,충북," 26,611 "," 25,574 ", 96.1 ," 15,920 "," 15,841 ", 99.5 ," 5,705 "," 5,572 ", 97.7 ," 4,266 "," 3,482 ", 81.6 ,,,,,
2019,충남," 39,586 "," 38,551 ", 97.4 ," 25,396 "," 25,333 ", 99.8 ," 6,319 "," 6,162 ", 97.5 ," 4,826 "," 4,020 ", 83.3 ,,,,,
2019,전북," 28,028 "," 25,960 ", 92.6 ," 13,980 "," 13,817 ", 98.8 ," 6,734 "," 6,196 ", 92.0 ," 4,118 "," 2,970 ", 72.1 ,,,,,
2019,전남," 17,930 "," 16,235 ", 90.5 ," 8,399 "," 8,037 ", 95.7 ," 7,817 "," 7,053 ", 90.2 ," 1,578 "," 1,009 ", 63.9 ,,,,,
2019,경북," 44,805 "," 40,875 ", 91.2 ," 25,392 "," 24,517 ", 96.6 ," 10,952 "," 10,298 ", 94.0 ," 5,346 "," 3,803 ", 71.1 ,,,,,
2019,경남," 26,383 "," 24,253 ", 91.9 ," 13,540 "," 13,013 ", 96.1 ," 7,641 "," 7,219 ", 94.5 ," 4,038 "," 2,857 ", 70.8 ,,,,,
2019,제주," 6,258 "," 5,629 ", 89.9 ," 2,758 "," 2,381 ", 86.3 ," 2,555 "," 2,541 ", 99.5 , 920 , 682 , 74.1 ,,,,,
2019,전국," 718,543 "," 635,068 ", 88.4 ," 313,884 "," 310,229 ", 98.8 ," 166,229 "," 161,687 ", 97.3 ," 129,300 "," 103,739 ", 80.2 ,,,,,
2020,서울," 226,759 "," 171,751 ", 75.7 ," 71,980 "," 71,744 ", 99.7 ," 15,045 "," 15,045 ", 100.0 ," 55,363 "," 47,942 ", 86.6 ,,,,,
2020,부산," 51,951 "," 47,094 ", 90.7 ," 30,113 "," 29,718 ", 98.7 ," 11,258 "," 9,006 ", 80.0 ," 8,408 "," 6,411 ", 76.2 ,,,,,
2020,대구," 29,485 "," 27,866 ", 94.5 ," 9,454 "," 9,455 ", 100.0 ," 12,791 "," 12,211 ", 95.5 ," 5,052 "," 4,167 ", 82.5 ,,,,,
2020,인천," 16,813 "," 16,176 ", 96.2 ," 6,200 "," 6,194 ", 99.9 ," 5,936 "," 5,936 ", 100.0 ," 3,194 "," 2,567 ", 80.4 ,,,,,
2020,광주," 25,602 "," 23,909 ", 93.4 ," 13,525 "," 13,472 ", 99.6 ," 5,871 "," 5,736 ", 97.7 ," 5,524 "," 4,019 ", 72.8 ,,,,,
2020,대전," 34,664 "," 32,617 ", 94.1 ," 18,002 "," 17,892 ", 99.4 ," 7,738 "," 6,971 ", 90.1 ," 7,574 "," 6,597 ", 87.1 ,,,,,
2020,울산," 7,523 "," 7,022 ", 93.3 ," 3,102 "," 3,084 ", 99.4 ," 2,413 "," 2,361 ", 97.8 ," 1,683 "," 1,252 ", 74.4 ,,,,,
2020,세종," 4,610 "," 4,352 ", 94.4 ," 2,679 "," 2,645 ", 98.7 ," 1,169 "," 1,124 ", 96.2 , 762 , 583 , 76.5 ,,,,,
2020,경기," 103,549 "," 97,367 ", 94.0 ," 37,604 "," 37,228 ", 99.0 ," 49,146 "," 47,567 ", 96.8 ," 13,242 "," 10,566 ", 79.8 ,,,,,
2020,강원," 23,800 "," 22,284 ", 93.6 ," 15,863 "," 15,751 ", 99.3 ," 3,906 "," 3,632 ", 93.0 ," 3,476 "," 2,348 ", 67.5 ,,,,,
2020,충북," 26,640 "," 24,955 ", 93.7 ," 15,836 "," 15,738 ", 99.4 ," 5,857 "," 5,093 ", 87.0 ," 4,261 "," 3,499 ", 82.1 ,,,,,
2020,충남," 39,733 "," 37,889 ", 95.4 ," 25,322 "," 25,271 ", 99.8 ," 6,345 "," 5,642 ", 88.9 ," 4,831 "," 3,986 ", 82.5 ,,,,,
2020,전북," 27,721 "," 25,632 ", 92.5 ," 13,886 "," 13,836 ", 99.6 ," 6,669 "," 5,919 ", 88.8 ," 3,979 "," 2,910 ", 73.1 ,,,,,
2020,전남," 17,478 "," 15,706 ", 89.9 ," 8,226 "," 7,863 ", 95.6 ," 7,557 "," 6,829 ", 90.4 ," 1,578 ", 996 , 63.1 ,,,,,
2020,경북," 44,513 "," 40,800 ", 91.7 ," 25,142 "," 24,284 ", 96.6 ," 10,744 "," 9,993 ", 93.0 ," 5,216 "," 3,852 ", 73.8 ,,,,,
2020,경남," 25,822 "," 23,500 ", 91.0 ," 13,265 "," 12,639 ", 95.3 ," 7,345 "," 6,608 ", 90.0 ," 4,048 "," 3,109 ", 76.8 ,,,,,
2020,제주," 5,946 "," 5,379 ", 90.5 ," 2,456 "," 2,246 ", 91.4 ," 2,545 "," 2,399 ", 94.3 , 920 , 709 , 77.1 ,,,,,
2020,전국," 712,609 "," 624,299 ", 87.6 ," 312,655 "," 309,060 ", 98.9 ," 162,335 "," 152,072 ", 93.7 ," 129,111 "," 105,513 ", 81.7 ,,,,,
2021,서울," 228,260 "," 175,183 ", 76.7 ," 72,726 "," 72,390 ", 99.5 ," 14,523 "," 14,352 ", 98.8 ," 55,443 "," 50,369 ", 90.8 ,,,,,
2021,부산," 50,787 "," 44,072 ", 86.8 ," 30,087 "," 27,945 ", 92.9 ," 10,130 "," 7,607 ", 75.1 ," 8,398 "," 6,666 ", 79.4 ,,,,,
2021,대구," 29,318 "," 26,495 ", 90.4 ," 9,459 "," 9,297 ", 98.3 ," 12,735 "," 11,224 ", 88.1 ," 4,990 "," 4,110 ", 82.4 ,,,,,
2021,인천," 16,951 "," 16,012 ", 94.5 ," 6,417 "," 6,326 ", 98.6 ," 5,895 "," 5,502 ", 93.3 ," 3,184 "," 2,847 ", 89.4 ,,,,,
2021,광주," 25,403 "," 23,171 ", 91.2 ," 13,686 "," 13,209 ", 96.5 ," 5,521 "," 5,076 ", 91.9 ," 5,514 "," 4,210 ", 76.4 ,,,,,
2021,대전," 34,049 "," 29,710 ", 87.3 ," 17,987 "," 17,077 ", 94.9 ," 7,228 "," 5,189 ", 71.8 ," 7,389 "," 6,317 ", 85.5 ,,,,,
2021,울산," 7,502 "," 7,056 ", 94.1 ," 3,191 "," 3,055 ", 95.7 ," 2,303 "," 2,142 ", 93.0 ," 1,683 "," 1,548 ", 92.0 ,,,,,
2021,세종," 4,693 "," 4,367 ", 93.1 ," 2,784 "," 2,745 ", 98.6 ," 1,127 ", 928 , 82.3 , 782 , 694 , 88.7 ,,,,,
2021,경기," 101,678 "," 89,207 ", 87.7 ," 37,597 "," 37,027 ", 98.5 ," 47,583 "," 39,048 ", 82.1 ," 13,409 "," 10,925 ", 81.5 ,,,,,
2021,강원," 23,294 "," 20,000 ", 85.9 ," 15,685 "," 13,953 ", 89.0 ," 3,572 "," 2,930 ", 82.0 ," 3,481 "," 2,579 ", 74.1 ,,,,,
2021,충북," 26,328 "," 23,171 ", 88.0 ," 15,698 "," 14,567 ", 92.8 ," 5,685 "," 4,130 ", 72.6 ," 4,261 "," 3,857 ", 90.5 ,,,,,
2021,충남," 39,610 "," 36,218 ", 91.4 ," 25,656 "," 24,950 ", 97.2 ," 5,952 "," 4,528 ", 76.1 ," 4,817 "," 4,294 ", 89.1 ,,,,,
2021,전북," 27,177 "," 23,887 ", 87.9 ," 13,938 "," 12,460 ", 89.4 ," 6,075 "," 5,589 ", 92.0 ," 3,972 "," 3,087 ", 77.7 ,,,,,
2021,전남," 17,301 "," 14,840 ", 85.8 ," 8,261 "," 7,408 ", 89.7 ," 7,313 "," 6,114 ", 83.6 ," 1,608 "," 1,210 ", 75.2 ,,,,,
2021,경북," 44,380 "," 38,244 ", 86.2 ," 24,993 "," 22,012 ", 88.1 ," 10,587 "," 9,263 ", 87.5 ," 5,274 "," 4,099 ", 77.7 ,,,,,
2021,경남," 25,178 "," 21,249 ", 84.4 ," 12,991 "," 11,010 ", 84.8 ," 6,967 "," 5,890 ", 84.5 ," 4,056 "," 3,264 ", 80.5 ,,,,,
2021,제주," 5,913 "," 4,963 ", 83.9 ," 2,458 "," 2,197 ", 89.4 ," 2,550 "," 2,011 ", 78.9 , 880 , 730 , 83.0 ,,,,,
2021,전국," 707,822 "," 597,845 ", 84.5 ," 313,614 "," 297,628 ", 94.9 ," 155,746 "," 131,523 ", 84.4 ," 129,141 "," 110,806 ", 85.8 ,,,,,
2022,서울," 229,662 "," 172,405 ", 75.1 ," 73,560 "," 73,201 ", 99.5 ," 14,599 "," 14,578 ", 99.9 ," 55,920 "," 49,888 ", 89.2 ,,,,,
2022,부산," 48,598 "," 43,336 ", 89.2 ," 29,082 "," 27,488 ", 94.5 ," 8,859 "," 7,514 ", 84.8 ," 8,486 "," 6,566 ", 77.4 ,,,,,
2022,대구," 28,977 "," 27,240 ", 94.0 ," 9,478 "," 9,452 ", 99.7 ," 12,354 "," 11,727 ", 94.9 ," 5,042 "," 4,106 ", 81.4 ,,,,,
2022,인천," 16,717 "," 15,369 ", 91.9 ," 6,348 "," 6,338 ", 99.8 ," 5,730 "," 5,103 ", 89.1 ," 3,183 "," 2,665 ", 83.7 ,,,,,
2022,광주," 25,350 "," 23,440 ", 92.5 ," 13,580 "," 13,401 ", 98.7 ," 5,515 "," 5,208 ", 94.4 ," 5,544 "," 4,128 ", 74.5 ,,,,,
2022,대전," 33,069 "," 29,879 ", 90.4 ," 17,971 "," 17,697 ", 98.5 ," 6,463 "," 4,782 ", 74.0 ," 7,315 "," 6,361 ", 87.0 ,,,,,
2022,울산," 7,597 "," 6,976 ", 91.8 ," 3,154 "," 3,130 ", 99.2 ," 2,288 "," 2,099 ", 91.7 ," 1,830 "," 1,443 ", 78.9 ,,,,,
2022,세종," 4,707 "," 4,480 ", 95.2 ," 2,795 "," 2,760 ", 98.7 ," 1,100 "," 1,035 ", 94.1 , 812 , 685 , 84.4 ,,,,,
2022,경기," 99,449 "," 88,385 ", 88.9 ," 37,799 "," 37,265 ", 98.6 ," 45,128 "," 38,006 ", 84.2 ," 13,455 "," 10,860 ", 80.7 ,,,,,
2022,강원," 22,552 "," 19,626 ", 87.0 ," 15,231 "," 13,747 ", 90.3 ," 3,291 "," 2,829 ", 86.0 ," 3,474 "," 2,537 ", 73.0 ,,,,,
2022,충북," 25,923 "," 23,038 ", 88.9 ," 15,693 "," 14,822 ", 94.4 ," 5,293 "," 4,015 ", 75.9 ," 4,261 "," 3,583 ", 84.1 ,,,,,
2022,충남," 39,459 "," 36,180 ", 91.7 ," 25,619 "," 25,139 ", 98.1 ," 5,824 "," 4,383 ", 75.3 ," 4,837 "," 4,076 ", 84.3 ,,,,,
2022,전북," 26,630 "," 23,701 ", 89.0 ," 13,655 "," 12,532 ", 91.8 ," 5,864 "," 5,317 ", 90.7 ," 3,939 "," 3,024 ", 76.8 ,,,,,
2022,전남," 17,120 "," 14,578 ", 85.2 ," 8,235 "," 7,635 ", 92.7 ," 7,010 "," 5,815 ", 83.0 ," 1,759 "," 1,049 ", 59.6 ,,,,,
2022,경북," 43,446 "," 38,540 ", 88.7 ," 24,719 "," 22,725 ", 91.9 ," 9,959 "," 9,034 ", 90.7 ," 5,284 "," 3,945 ", 74.7 ,,,,,
2022,경남," 23,737 "," 20,262 ", 85.4 ," 11,979 "," 10,478 ", 87.5 ," 6,560 "," 5,698 ", 86.9 ," 4,044 "," 3,058 ", 75.6 ,,,,,
2022,제주," 5,872 "," 4,856 ", 82.7 ," 2,549 "," 2,232 ", 87.6 ," 2,418 "," 1,906 ", 78.8 , 880 , 693 , 78.8 ,,,,,
2022,전국," 698,865 "," 592,291 ", 84.8 ," 311,447 "," 300,042 ", 96.3 ," 148,255 "," 129,049 ", 87.0 ," 130,065 "," 108,667 ", 83.5 ,,,,,
2023,서울," 219,864 "," 162,920 ", 74.1 ," 67,193 "," 67,000 ", 99.7 ," 14,522 "," 14,491 ", 99.8 ," 53,970 "," 47,498 ", 88.0 ,,,,,
2023,부산," 46,647 "," 41,899 ", 89.8 ," 28,184 "," 27,007 ", 95.8 ," 8,110 "," 6,948 ", 85.7 ," 8,091 "," 6,115 ", 75.6 ,,,,,
2023,대구," 28,555 "," 26,884 ", 94.1 ," 9,099 "," 9,088 ", 99.9 ," 12,241 "," 11,959 ", 97.7 ," 5,121 "," 3,985 ", 77.8 ,,,,,
2023,인천," 17,815 "," 16,706 ", 93.8 ," 7,271 "," 7,245 ", 99.6 ," 5,318 "," 4,999 ", 94.0 ," 3,444 "," 2,938 ", 85.3 ,,,,,
2023,광주," 23,814 "," 21,673 ", 91.0 ," 13,247 "," 12,766 ", 96.4 ," 4,634 "," 4,283 ", 92.4 ," 5,256 "," 3,969 ", 75.5 ,,,,,
2023,대전," 32,258 "," 29,559 ", 91.6 ," 17,632 "," 17,518 ", 99.4 ," 5,866 "," 4,774 ", 81.4 ," 7,307 "," 6,127 ", 83.9 ,,,,,
2023,울산," 7,566 "," 6,927 ", 91.6 ," 3,153 "," 3,131 ", 99.3 ," 2,265 "," 2,122 ", 93.7 ," 1,823 "," 1,368 ", 75.0 ,,,,,
2023,세종," 4,733 "," 4,482 ", 94.7 ," 2,793 "," 2,754 ", 98.6 ," 1,096 "," 1,004 ", 91.6 , 844 , 724 , 85.8 ,,,,,
2023,경기," 107,786 "," 96,531 ", 89.6 ," 44,594 "," 44,181 ", 99.1 ," 44,182 "," 37,415 ", 84.7 ," 15,912 "," 12,536 ", 78.8 ,,,,,
2023,강원," 21,935 "," 19,200 ", 87.5 ," 14,643 "," 13,424 ", 91.7 ," 3,206 "," 2,789 ", 87.0 ," 3,505 "," 2,485 ", 70.9 ,,,,,
2023,충북," 24,638 "," 22,302 ", 90.5 ," 15,089 "," 14,200 ", 94.1 ," 4,577 "," 3,864 ", 84.4 ," 4,336 "," 3,645 ", 84.1 ,,,,,
2023,충남," 37,488 "," 35,625 ", 95.0 ," 25,381 "," 25,084 ", 98.8 ," 4,742 "," 4,218 ", 88.9 ," 4,632 "," 4,172 ", 90.1 ,,,,,
2023,전북," 25,570 "," 22,846 ", 89.3 ," 12,811 "," 12,210 ", 95.3 ," 5,727 "," 5,058 ", 88.3 ," 3,858 "," 2,838 ", 73.6 ,,,,,
2023,전남," 15,662 "," 13,484 ", 86.1 ," 7,458 "," 6,930 ", 92.9 ," 6,329 "," 5,377 ", 85.0 ," 1,758 "," 1,102 ", 62.7 ,,,,,
2023,경북," 42,181 "," 38,219 ", 90.6 ," 24,014 "," 22,761 ", 94.8 ," 9,559 "," 8,829 ", 92.4 ," 5,125 "," 3,864 ", 75.4 ,,,,,
2023,경남," 23,271 "," 20,640 ", 88.7 ," 11,751 "," 11,157 ", 94.9 ," 6,038 "," 5,264 ", 87.2 ," 4,410 "," 3,246 ", 73.6 ,,,,,
2023,제주," 5,736 "," 4,811 ", 83.9 ," 2,545 "," 2,207 ", 86.7 ," 2,286 "," 1,784 ", 78.0 , 880 , 795 , 90.3 ,,,,,
2023,전국," 685,519 "," 584,708 ", 85.3 ," 306,858 "," 298,663 ", 97.3 ," 140,698 "," 125,178 ", 89.0 ," 130,272 "," 107,407 ", 82.4 ,,,,,
2024,서울," 220,525 "," 164,393 ",74.5," 67,805 "," 67,671 ",99.8," 14,375 "," 14,328 ",99.7," 54,402 "," 48,641 ",89.4,,,,,
2024,부산," 45,889 "," 41,886 ",91.3," 27,665 "," 26,985 ",97.5," 7,668 "," 6,659 ",86.8," 8,299 "," 6,323 ",76.2,,,,,
2024,대구," 28,769 "," 27,075 ",94.1," 9,463 "," 9,430 ",99.7," 12,097 "," 11,822 ",97.7," 5,120 "," 4,108 ",80.2,,,,,
2024,인천," 17,655 "," 16,735 ",94.8," 7,305 "," 7,302 ",100.0," 5,171 "," 4,879 ",94.4," 3,512 "," 3,053 ",86.9,,,,,
2024,광주," 23,898 "," 22,128 ",92.6," 13,320 "," 12,941 ",97.2," 4,672 "," 4,376 ",93.7," 5,240 "," 4,146 ",79.1,,,,,
2024,대전," 31,693 "," 29,452 ",92.9," 17,673 "," 17,565 ",99.4," 5,474 "," 4,545 ",83.0," 7,208 "," 6,210 ",86.2,,,,,
2024,울산," 7,285 "," 6,792 ",93.2," 2,915 "," 2,905 ",99.7," 2,272 "," 2,135 ",94.0," 1,813 "," 1,467 ",80.9,,,,,
2024,세종," 4,693 "," 4,358 ",92.9," 2,754 "," 2,715 ",98.6," 1,089 ", 988 ,90.7, 850 , 655 ,77.1,,,,,
2024,경기," 106,969 "," 96,889 ",90.6," 44,888 "," 44,452 ",99.0," 42,620 "," 36,675 ",86.1," 16,368 "," 13,534 ",82.7,,,,,
2024,강원," 21,496 "," 19,390 ",90.2," 14,373 "," 13,507 ",94.0," 3,025 "," 2,764 ",91.4," 3,554 "," 2,627 ",73.9,,,,,
2024,충북," 24,681 "," 22,670 ",91.9," 15,226 "," 14,789 ",97.1," 4,556 "," 3,869 ",84.9," 4,265 "," 3,425 ",80.3,,,,,
2024,충남," 36,726 "," 35,097 ",95.6," 24,912 "," 24,570 ",98.6," 4,540 "," 4,088 ",90.0," 4,675 "," 4,067 ",87.0,,,,,
2024,전북," 25,253 "," 23,139 ",91.6," 12,712 "," 12,508 ",98.4," 5,580 "," 4,979 ",89.2," 3,842 "," 2,946 ",76.7,,,,,
2024,전남," 15,494 "," 13,523 ",87.3," 7,455 "," 6,920 ",92.8," 6,206 "," 5,462 ",88.0," 1,738 "," 1,071 ",61.6,,,,,
2024,경북," 41,547 "," 38,234 ",92.0," 23,871 "," 22,990 ",96.3," 9,043 "," 8,392 ",92.8," 5,148 "," 3,901 ",75.8,,,,,
2024,경남," 22,942 "," 20,548 ",89.6," 11,764 "," 11,079 ",94.2," 5,760 "," 5,128 ",89.0," 4,344 "," 3,337 ",76.8,,,,,
2024,제주," 5,636 "," 4,783 ",84.9," 2,542 "," 2,207 ",86.8," 2,189 "," 1,802 ",82.3, 880 , 749 ,85.1,,,,,
2024,전국," 681,151 "," 587,092 ",86.2," 306,643 "," 300,536 ",98.0," 136,337 "," 122,891 ",90.1," 131,258 "," 110,260 ",84.0,,,,,
